"id","numero_dossier","numero_individu","date_debut","date_fin"
1,"D20251024000001","20251024005100","2010-01-01","2011-05-26"
2,"D20251024000001","20251024002959","2010-01-01","2011-05-26"
3,"D20251024000001","20251024000151","2010-01-01","2011-05-26"
4,"D20251024000001","20251024007743","2010-01-01","2011-05-26"
5,"D20251024000002","20251024005100","2011-05-27","2015-10-03"
6,"D20251024000002","20251024002959","2011-05-27","2015-10-03"
7,"D20251024000002","20251024000151","2011-05-27","2015-10-03"
8,"D20251024000002","20251024007743","2011-05-27","2015-10-03"
9,"D20251024000003","20251024005100","2015-10-04","2017-07-25"
10,"D20251024000003","20251024002959","2015-10-04","2017-07-25"
11,"D20251024000003","20251024000151","2015-10-04","2017-07-25"
12,"D20251024000003","20251024007743","2015-10-04","2017-07-25"
13,"D20251024000004","20251024005100","2017-07-26","2019-05-17"
14,"D20251024000004","20251024002959","2017-07-26","2019-05-17"
15,"D20251024000004","20251024000151","2017-07-26","2019-05-17"
16,"D20251024000004","20251024007743","2017-07-26","2019-05-17"
17,"D20251024000005","20251024005100","2019-05-18","2020-07-11"
18,"D20251024000005","20251024002959","2019-05-18","2020-07-11"
19,"D20251024000005","20251024000151","2019-05-18","2020-07-11"
20,"D20251024000005","20251024007743","2019-05-18","2020-07-11"
21,"D20251024000006","20251024005100","2020-07-12","2023-06-27"
22,"D20251024000006","20251024002959","2020-07-12","2023-06-27"
23,"D20251024000006","20251024000151","2020-07-12","2023-06-27"
24,"D20251024000006","20251024007743","2020-07-12","2023-06-27"
25,"D20251024000007","20251024005100","2023-06-28",NULL
26,"D20251024000007","20251024002959","2023-06-28",NULL
27,"D20251024000007","20251024000151","2023-06-28",NULL
28,"D20251024000007","20251024007743","2023-06-28",NULL
29,"D20251024000008","20251024006203","2010-01-01","2013-09-12"
30,"D20251024000009","20251024006203","2013-09-13","2016-09-27"
31,"D20251024000010","20251024006203","2016-09-28","2019-09-13"
32,"D20251024000011","20251024006203","2019-09-14","2022-01-01"
33,"D20251024000012","20251024006203","2022-01-02","2023-09-24"
34,"D20251024000013","20251024006203","2023-09-25","2025-10-24"
35,"D20251024000014","20251024007625","2010-01-01","2012-08-18"
36,"D20251024000014","20251024004397","2010-01-01","2012-08-18"
37,"D20251024000014","20251024006184","2010-01-01","2012-08-18"
38,"D20251024000014","20251024006503","2010-01-01","2012-08-18"
39,"D20251024000015","20251024007625","2012-08-19","2017-06-24"
40,"D20251024000015","20251024004397","2012-08-19","2017-06-24"
41,"D20251024000015","20251024006184","2012-08-19","2017-06-24"
42,"D20251024000015","20251024006503","2012-08-19","2017-06-24"
43,"D20251024000016","20251024007625","2017-06-25","2018-09-18"
44,"D20251024000016","20251024004397","2017-06-25","2018-09-18"
45,"D20251024000016","20251024006184","2017-06-25","2018-09-18"
46,"D20251024000016","20251024006503","2017-06-25","2018-09-18"
47,"D20251024000017","20251024007625","2018-09-19","2019-12-13"
48,"D20251024000017","20251024004397","2018-09-19","2019-12-13"
49,"D20251024000017","20251024006184","2018-09-19","2019-12-13"
50,"D20251024000017","20251024006503","2018-09-19","2019-12-13"
51,"D20251024000018","20251024007625","2019-12-14","2024-11-17"
52,"D20251024000018","20251024004397","2019-12-14","2024-11-17"
53,"D20251024000018","20251024006184","2019-12-14","2024-11-17"
54,"D20251024000018","20251024006503","2019-12-14","2024-11-17"
55,"D20251024000019","20251024007625","2024-11-18",NULL
56,"D20251024000019","20251024004397","2024-11-18",NULL
57,"D20251024000019","20251024006184","2024-11-18",NULL
58,"D20251024000019","20251024006503","2024-11-18",NULL
59,"D20251024000020","20251024007320","2010-01-01","2011-04-26"
60,"D20251024000020","20251024007598","2010-01-01","2011-04-26"
61,"D20251024000020","20251024003460","2010-01-01","2011-04-26"
62,"D20251024000020","20251024009548","2010-01-01","2011-04-26"
63,"D20251024000021","20251024007320","2011-04-27","2013-09-13"
64,"D20251024000021","20251024007598","2011-04-27","2013-09-13"
65,"D20251024000021","20251024003460","2011-04-27","2013-09-13"
66,"D20251024000021","20251024009548","2011-04-27","2013-09-13"
67,"D20251024000022","20251024007320","2013-09-14","2016-11-27"
68,"D20251024000022","20251024007598","2013-09-14","2016-11-27"
69,"D20251024000022","20251024003460","2013-09-14","2016-11-27"
70,"D20251024000022","20251024009548","2013-09-14","2016-11-27"
71,"D20251024000023","20251024007320","2016-11-28","2018-09-19"
72,"D20251024000023","20251024007598","2016-11-28","2018-09-19"
73,"D20251024000023","20251024003460","2016-11-28","2018-09-19"
74,"D20251024000023","20251024009548","2016-11-28","2018-09-19"
75,"D20251024000024","20251024007320","2018-09-20","2023-02-26"
76,"D20251024000024","20251024007598","2018-09-20","2023-02-26"
77,"D20251024000024","20251024003460","2018-09-20","2023-02-26"
78,"D20251024000024","20251024009548","2018-09-20","2023-02-26"
79,"D20251024000025","20251024007320","2023-02-27",NULL
80,"D20251024000025","20251024007598","2023-02-27",NULL
81,"D20251024000025","20251024003460","2023-02-27",NULL
82,"D20251024000025","20251024009548","2023-02-27","2025-10-24"
83,"D20251024000026","20251024009157","2010-01-01","2013-10-12"
84,"D20251024000026","20251024006710","2010-01-01","2013-10-12"
85,"D20251024000026","20251024002865","2010-01-01","2013-10-12"
86,"D20251024000027","20251024009157","2013-10-13","2017-12-21"
87,"D20251024000027","20251024006710","2013-10-13","2017-12-21"
88,"D20251024000027","20251024002865","2013-10-13","2017-12-21"
89,"D20251024000028","20251024009157","2017-12-22","2019-12-12"
90,"D20251024000028","20251024006710","2017-12-22","2019-12-12"
91,"D20251024000028","20251024002865","2017-12-22","2019-12-12"
92,"D20251024000029","20251024009157","2019-12-13","2022-04-01"
93,"D20251024000029","20251024006710","2019-12-13","2022-04-01"
94,"D20251024000029","20251024002865","2019-12-13","2022-04-01"
95,"D20251024000030","20251024009157","2022-04-02",NULL
96,"D20251024000030","20251024006710","2022-04-02",NULL
97,"D20251024000030","20251024002865","2022-04-02","2025-10-24"
98,"D20251024000031","20251024005271","2017-04-20","2019-12-06"
99,"D20251024000031","20251024009777","2017-04-20","2019-12-06"
100,"D20251024000032","20251024005271","2019-12-07","2023-05-20"
101,"D20251024000032","20251024009777","2019-12-07","2023-05-20"
102,"D20251024000033","20251024005271","2023-05-21",NULL
103,"D20251024000033","20251024009777","2023-05-21",NULL
104,"D20251024000034","20251024002098","2010-01-01","2011-09-23"
105,"D20251024000035","20251024002098","2011-09-24","2014-09-08"
106,"D20251024000036","20251024002098","2014-09-09","2016-05-31"
107,"D20251024000037","20251024002098","2016-06-01","2021-04-06"
108,"D20251024000038","20251024002098","2021-04-07","2022-09-29"
109,"D20251024000039","20251024002098","2022-09-30","2025-05-17"
110,"D20251024000040","20251024002098","2025-05-18",NULL
111,"D20251024000041","20251024007783","2010-01-01","2014-04-10"
112,"D20251024000041","20251024000562","2010-01-01","2014-04-10"
113,"D20251024000041","20251024004756","2010-01-01","2014-04-10"
114,"D20251024000042","20251024007783","2014-04-11","2015-06-05"
115,"D20251024000042","20251024000562","2014-04-11","2015-06-05"
116,"D20251024000042","20251024004756","2014-04-11","2015-06-05"
117,"D20251024000043","20251024007783","2015-06-06","2019-05-16"
118,"D20251024000043","20251024000562","2015-06-06","2019-05-16"
119,"D20251024000043","20251024004756","2015-06-06","2019-05-16"
120,"D20251024000044","20251024007783","2019-05-17","2022-03-02"
121,"D20251024000044","20251024000562","2019-05-17","2022-03-02"
122,"D20251024000044","20251024004756","2019-05-17","2022-03-02"
123,"D20251024000045","20251024007783","2022-03-03",NULL
124,"D20251024000045","20251024000562","2022-03-03",NULL
125,"D20251024000045","20251024004756","2022-03-03",NULL
126,"D20251024000046","20251024006630","2010-01-01","2012-06-19"
127,"D20251024000046","20251024006965","2010-01-01","2012-06-19"
128,"D20251024000046","20251024001839","2010-01-01","2012-06-19"
129,"D20251024000047","20251024006630","2012-06-20","2016-07-29"
130,"D20251024000047","20251024006965","2012-06-20","2016-07-29"
131,"D20251024000047","20251024001839","2012-06-20","2016-07-29"
132,"D20251024000048","20251024006630","2016-07-30","2019-03-17"
133,"D20251024000048","20251024006965","2016-07-30","2019-03-17"
134,"D20251024000048","20251024001839","2016-07-30","2019-03-17"
135,"D20251024000049","20251024006630","2019-03-18","2021-08-04"
