"id","numero_individu","permis","date_debut","date_fin"
1,"20251024000001","B","1949-08-21",NULL
2,"20251024000004","F","2015-05-25",NULL
3,"20251024000006","B","2021-04-20",NULL
4,"20251024000007","B","1993-08-19",NULL
5,"20251024000008","C","1998-02-04",NULL
6,"20251024000009","B","2018-02-10",NULL
7,"20251024000010","C","2011-04-29",NULL
8,"20251024000011","B","1998-02-04",NULL
9,"20251024000012","C","2013-11-06",NULL
10,"20251024000013","G","2002-12-18",NULL
11,"20251024000014","B","1994-10-23",NULL
12,"20251024000015","B","1991-09-23",NULL
13,"20251024000016","G","2006-11-17",NULL
14,"20251024000017","C","2016-07-28",NULL
15,"20251024000018","G","2004-04-11",NULL
16,"20251024000019","G","2023-05-02",NULL
17,"20251024000020","C","1975-08-17",NULL
18,"20251024000022","F","2018-04-07",NULL
19,"20251024000023","B","2022-12-28",NULL
20,"20251024000025","S","1992-04-15",NULL
21,"20251024000026","C","2015-11-09",NULL
22,"20251024000027","C","2017-04-14",NULL
23,"20251024000030","B","2022-08-19",NULL
24,"20251024000031","B","2022-03-21",NULL
25,"20251024000032","C","2014-05-14",NULL
26,"20251024000035","L","2021-03-08",NULL
27,"20251024000039","B","1993-03-18",NULL
28,"20251024000041","C","2024-02-15",NULL
29,"20251024000042","B","2010-10-21","2015-06-27"
30,"20251024000042","C","2015-06-28",NULL
31,"20251024000043","B","1958-02-02",NULL
32,"20251024000044","C","1998-03-28",NULL
33,"20251024000045","B","1999-04-10","2003-12-15"
34,"20251024000045","C","2003-12-16",NULL
35,"20251024000047","L","2007-07-03",NULL
36,"20251024000048","C","1997-12-23",NULL
37,"20251024000050","L","2018-03-24","2019-02-17"
38,"20251024000050","G","2019-02-18",NULL
39,"20251024000051","G","2018-12-22",NULL
40,"20251024000053","B","1980-01-01","1984-06-08"
41,"20251024000053","C","1984-06-09",NULL
42,"20251024000054","G","1999-12-09",NULL
43,"20251024000056","C","1996-09-23",NULL
44,"20251024000058","C","2024-10-11",NULL
45,"20251024000059","B","1948-04-11",NULL
46,"20251024000060","C","2022-06-07",NULL
47,"20251024000061","L","2015-07-21",NULL
48,"20251024000062","B","1969-12-12",NULL
49,"20251024000063","B","2005-08-20",NULL
50,"20251024000064","G","2014-03-17","2015-03-12"
51,"20251024000065","C","2023-02-01",NULL
52,"20251024000067","B","2021-11-28",NULL
53,"20251024000069","L","1991-10-09",NULL
54,"20251024000071","C","2009-01-15",NULL
55,"20251024000072","B","1989-05-28",NULL
56,"20251024000073","B","1994-08-17",NULL
57,"20251024000074","B","2024-11-18",NULL
58,"20251024000075","C","1976-07-17",NULL
59,"20251024000077","F","1989-12-17",NULL
60,"20251024000078","C","2024-10-05",NULL
61,"20251024000079","C","2012-11-12",NULL
62,"20251024000081","B","1951-08-13",NULL
63,"20251024000082","L","1939-08-14",NULL
64,"20251024000083","B","2024-10-24",NULL
65,"20251024000085","C","1987-05-23",NULL
66,"20251024000086","B","1982-07-14",NULL
67,"20251024000087","B","2023-06-23",NULL
68,"20251024000088","B","1968-03-28",NULL
69,"20251024000089","C","2009-01-19",NULL
70,"20251024000091","B","2008-12-27",NULL
71,"20251024000092","B","2001-04-15","2006-03-20"
72,"20251024000092","C","2006-03-21",NULL
73,"20251024000093","B","1976-05-13",NULL
74,"20251024000094","C","1979-09-12",NULL
75,"20251024000095","C","2014-06-09",NULL
76,"20251024000096","L","2024-11-18",NULL
77,"20251024000097","C","2018-09-05",NULL
